rankings,contests,ani_num
2842,30,0
2843,69,0
2844,8,-1
2845,45,-1
2846,14,0
2847,36,3
2848,60,2
2849,44,-1
2850,73,0
2851,24,0
2852,20,0
2853,68,0
2854,58,0
2855,60,3
2856,61,0
2857,43,0
2858,32,0
2859,31,0
2860,45,0
2861,31,0
2862,17,0
2863,43,0
2864,3,0
2865,8,4
2866,31,0
2867,59,-1
2868,75,0
2869,39,0
2870,17,1
2871,23,0
2872,75,3
2873,70,-1
2874,21,-1
2875,176,-1
2876,148,2
2877,11,-1
2878,16,-1
2879,52,2
2880,16,0
2881,13,0
2882,24,0
2883,78,-1
2884,44,0
2885,21,0
2886,21,0
2887,72,-1
2888,16,-1
2889,5,-1
2890,103,0
2891,58,-1
2892,65,1
2893,24,0
2894,17,0
2895,46,0
2896,104,-1
2897,29,0
2898,27,0
2899,81,0
2900,29,3
2901,23,0
2902,84,0
2903,7,-1
2904,40,0
2905,119,0
2906,60,0
2907,27,4
2908,63,-1
2909,21,-1
2910,49,2
2911,22,-1
2912,28,-1
2913,86,3
2914,32,0
2915,101,0
2916,16,-1
2917,7,-1
2918,23,-1
2919,47,-1
2920,62,-1
2921,7,0
2922,22,0
2923,11,0
2924,5,0
2925,29,0
2926,55,1
2927,62,0
2928,8,1
2929,3,-1
2930,49,0
2931,105,0
2932,13,-1
2933,10,-1
2934,42,-1
2935,10,0
2936,32,0
2937,14,4
2938,6,1
2939,112,2
2940,86,-1
2941,18,1
2942,46,0
2943,79,0
2944,26,-1
2945,64,3
2946,70,0
2947,9,0
2948,82,0
2949,153,0
2950,70,0
2976,31,0
2977,71,1
2978,90,0
2979,36,0
2980,51,-1
2981,81,-1
2982,33,1
2983,88,0
2984,50,0
2985,30,0
2986,53,3
2987,74,-1
2988,63,-1
2989,21,-1
2990,36,0
2991,13,0
2992,32,-1
2993,34,4
2994,16,0
2995,31,0
2996,12,0
2997,36,0
2998,39,0
2999,17,0
3000,38,0
3001,39,0
3002,42,0
3003,16,0
3004,82,-1
3005,67,0
3006,71,0
3007,78,1
3008,4,1
3009,8,-1
3010,27,-1
3011,31,0
3012,44,0
3013,49,0
3014,88,1
3015,44,-1
3016,41,0
3017,19,3
3018,62,0
3019,125,0
3020,50,3
3021,13,-1
3022,73,0
3023,36,-1
3024,332,0
3025,9,2
3026,26,2
3027,287,0
3028,15,0
3029,39,0
3030,14,0
3031,46,-1
3032,76,2
3033,71,1
3034,22,4
3035,268,4
3036,86,0
3037,172,-1
3038,12,-1
3039,52,0
3040,20,0
3041,22,-1
3042,16,0
3043,33,0
3044,13,0
3045,53,-1
3046,36,0
3047,46,0
3048,50,1
3049,121,0
3050,34,-1
3101,43,0
3102,28,-1
3103,89,0
3104,76,0
3105,9,0
3106,271,0
3107,72,1
3108,27,0
3109,90,0
3110,28,0
3111,72,0
3112,41,3
3113,25,-1
3114,24,0
3115,85,0
3116,67,0
3117,8,1
3118,214,1
3119,155,1
3120,119,3
3121,90,0
3122,11,1
3123,7,2
3124,9,0
3125,50,0
3176,17,0
3177,80,0
3178,18,2
3179,98,0
3180,38,0
3181,9,0
3182,8,0
3183,27,2
3184,37,-1
3185,17,1
3186,33,-1
3187,158,-1
3188,115,0
3189,9,0
3190,80,1
3191,132,0
3192,20,1
3193,97,-1
3194,103,-1
3195,41,-1
3196,27,-1
3197,43,-1
3198,13,0
3199,17,0
3200,31,3
3201,9,0
3202,98,-1
3203,42,-1
3204,44,2
3205,27,0
3206,20,0
3207,82,4
3208,19,-1
3209,34,-1
3210,24,-1
3211,37,-1
3212,163,0
3213,66,0
3214,33,0
3215,26,3
3216,163,0
3217,28,0
3218,34,0
3219,21,-1
3220,21,3
3221,20,-1
3222,60,0
3223,60,-1
3224,41,0
3225,37,1
3226,95,3
3227,53,0
3228,19,-1
3229,8,0
3230,23,0
3231,331,0
3232,53,0
3233,16,-1
3234,38,0
3235,52,-1
3236,32,3
3237,33,0
3238,43,3
3239,33,0
3240,73,0
3241,15,-1
3242,105,0
3243,19,-1
3244,59,0
3245,42,0
3246,53,1
3247,55,3
3248,19,2
3249,28,-1
3250,97,2
3276,60,0
3277,17,2
3278,13,0
3279,48,2
3280,77,0
3281,26,0
3282,17,0
3283,244,0
3284,43,0
3285,36,0
3286,65,0
3287,62,0
3288,142,-1
3289,12,-1
3290,19,0
3291,31,-1
3292,15,-1
3293,68,0
3294,28,3
3295,33,0
3296,16,0
3297,5,-1
3298,27,0
3299,16,0
3300,44,0
3326,12,0
3327,134,0
3328,32,3
3329,9,0
3330,39,0
3331,51,2
3332,41,-1
3333,74,3
3334,47,0
3335,25,0
3336,42,0
3337,21,-1
3338,4,-1
3339,12,0
3340,46,0
3341,120,0
3342,5,-1
3343,43,-1
3344,66,0
3345,31,0
3346,43,3
3347,27,0
3348,44,-1
3349,51,0
3350,77,0
3351,69,-1
3352,14,1
3353,25,4
3354,17,2
3355,88,0
3356,20,0
3357,54,0
3358,13,-1
3359,48,0
3360,31,0
3361,29,2
3362,98,0
3363,53,2
3364,44,-1
3365,11,0
3366,10,3
3367,85,-1
3368,98,4
3369,57,0
3370,273,0
3371,38,0
3372,127,0
3373,21,3
3374,62,0
3375,97,-1
3376,33,-1
3377,13,0
3378,34,0
3379,5,0
3380,52,0
3381,27,0
3382,30,0
3383,36,0
3384,15,-1
3385,40,0
3386,220,0
3387,32,4
3388,36,3
3389,27,0
3390,61,0
3391,29,0
3392,24,0
3393,76,0
3394,66,3
3395,150,-1
3396,116,3
3397,47,0
3398,56,0
3399,193,0
3400,10,0
3401,12,0
3402,13,0
3403,15,0
3404,53,0
3405,48,0
3406,84,1
3407,58,0
3408,44,-1
3409,9,0
3410,74,-1
3411,20,-1
3412,37,1
3413,64,-1
3414,35,0
3415,71,-1
3416,56,4
3417,4,-1
3418,11,-1
3419,27,-1
3420,126,0
